Index,Stage(ft_NCDD),Stage(ft_NAVD88),Storage(ac-ft),Storage(Mgal),Area(ac)
1156,480.91,484.6,414.8919331,135.1931305,26.47422835
1157,480.81,484.5,412.2483627,134.3317193,26.39490797
1158,480.71,484.4,409.613055,133.4730005,26.31509338
1159,480.61,484.3,406.9862255,132.6170443,26.22663014
1160,480.51,484.2,404.3671014,131.763599,26.15472288
1161,480.41,484.1,401.7552525,130.9125243,26.08627507
1162,480.31,484,399.1501714,130.0636549,26.01782726
1163,480.21,483.9,396.5517208,129.216946,25.9523447
1164,480.11,483.8,393.9600633,128.3724507,25.88562662
1165,480.01,483.7,391.3750127,127.5301083,25.82162669
1166,479.91,483.6,388.7959176,126.6897065,25.75614413
1167,479.81,483.5,386.2237498,125.8515619,25.6867079
1168,479.71,483.4,383.6584263,125.0156476,25.61924851
1169,479.61,483.3,381.0995891,124.1818468,25.55524858
1170,479.51,483.2,378.5470684,123.3501043,25.49643782
1171,479.41,483.1,376.0006097,122.5203371,25.42971974
1172,479.31,483,373.4611129,121.6928384,25.36127194
1173,479.21,482.9,370.9279612,120.8674073,25.29999014
1174,479.11,482.8,368.4010915,120.0440232,25.23796704
1175,479.01,482.7,365.8804833,119.2226794,25.17372
1176,478.91,482.6,363.3665983,118.4035263,25.10502509
1177,478.81,482.5,360.8593805,117.5865458,25.04003674
1178,478.71,482.4,358.3589527,116.7717779,24.96837658
1179,478.61,482.3,355.8653219,115.9592247,24.90585926
1180,478.51,482.2,353.3779906,115.1487242,24.83469331
1181,478.41,482.1,350.8984289,114.3407555,24.75809107
1182,478.31,482,348.4257107,113.5350167,24.68914906
1183,478.21,481.9,345.9600321,112.7315718,24.62317229
1184,478.11,481.8,343.5015701,111.9304785,24.54533453
1185,478.01,481.7,341.0507208,111.1318657,24.47169754
1186,477.91,481.6,338.6070872,110.3356042,24.39633082
1187,477.81,481.5,336.1711305,109.5418442,24.32294093
1188,477.71,481.4,333.7430908,108.750664,24.23694874
1189,477.61,481.3,331.3231171,107.9621121,24.16355885
1190,477.51,481.2,328.9104749,107.1759492,24.09214579
1191,477.41,481.1,326.5050316,106.3921321,24.01653197
1192,477.31,481,324.1071703,105.6107855,23.93894131
1193,477.21,480.9,321.7171882,104.8320065,23.86085645
1194,477.11,480.8,319.3348932,104.0557322,23.78524262
1195,477.01,480.7,316.9603622,103.2819879,23.70493382
1196,476.91,480.6,314.5939218,102.5108799,23.62363661
1197,476.81,480.5,312.2354804,101.7423784,23.54406912
